Players,IPL Team Name,Span,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
KL Rahul,LSG,2024-2024,12,11,16,14,2,3 (3ct 0st),1.454
RR Pant,DC,2024-2024,12,12,14,11,3,4 (2ct 2st),1.166
JM Sharma,PBKS,2024-2024,11,11,12,12,0,3 (3ct 0st),1.09
PD Salt,KKR,2024-2024,11,11,11,11,0,3 (3ct 0st),1
MS Dhoni,CSK,2024-2024,11,11,8,8,0,2 (2ct 0st),0.727
Ishan Kishan,MI,2024-2024,12,12,8,8,0,2 (2ct 0st),0.666
H Klaasen,SRH,2024-2024,12,12,8,6,2,2 (2ct 0st),0.666
WP Saha,GT,2024-2024,9,9,7,5,2,3 (1ct 2st),0.777
SV Samson,RR,2024-2024,11,11,7,6,1,2 (2ct 0st),0.636
Anuj Rawat,RCB,2024-2024,5,4,5,5,0,4 (4ct 0st),1.25
KD Karthik,RCB,2024-2024,11,7,3,3,0,1 (1ct 0st),0.428
Q de Kock,LSG,2024-2024,10,1,1,1,0,1 (1ct 0st),1
BR Sharath,GT,2024-2024,1,1,1,1,0,1 (1ct 0st),1
MS Wade,GT,2024-2024,1,1,1,1,0,1 (1ct 0st),1