Player_Name,Team_Name,From_year,Last_year,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
MS Dhoni,IND,2007,2016,33,32,32,21,11,4 (4ct 0st),1
Kamran Akmal,PAK,2007,2014,30,30,30,12,18,4 (0ct 4st),1
D Ramdin,WI,2007,2016,29,29,27,18,9,4 (0ct 4st),0.931
KC Sangakkara,SL,2007,2014,31,31,26,12,14,3 (2ct 1st),0.838
Q de Kock,SA,2014,2022,18,18,22,17,5,4 (3ct 1st),1.222
Mushfiqur Rahim,BAN,2007,2021,33,24,19,10,9,3 (1ct 2st),0.791
JC Buttler,ENG,2012,2022,27,22,18,16,2,3 (3ct 0st),0.818
MS Wade,AUS,2012,2022,17,17,17,15,2,3 (2ct 1st),1
MV Boucher,SA,2007,2010,16,16,16,15,1,3 (3ct 0st),1
Mohammad Shahzad,AFG,2010,2021,19,19,13,8,5,2 (1ct 1st),0.684
L Ronchi,NZ,2014,2016,9,9,12,7,5,3 (3ct 0st),1.333
MH Cross,SCOT,2016,2022,14,14,12,9,3,4 (3ct 1st),0.857
NJ O'Brien,IRE,2009,2016,11,9,11,7,4,4 (3ct 1st),1.222
DP Conway,NZ,2021,2022,11,10,10,8,2,2 (2ct 0st),1
Nurul Hasan,BAN,2021,2022,10,10,10,9,1,3 (3ct 0st),1
SA Edwards,NED,2021,2022,11,11,10,10,0,2 (2ct 0st),0.909
AB de Villiers,SA,2007,2016,30,5,9,7,2,4 (4ct 0st),1.8
AC Gilchrist,AUS,2007,2007,6,6,9,9,0,4 (4ct 0st),1.5
ZE Green,NAM,2021,2022,11,11,9,9,0,3 (3ct 0st),0.818
W Barresi,NED,2014,2016,10,9,8,8,0,3 (3ct 0st),0.888
C Kieswetter,ENG,2010,2012,11,11,8,6,2,2 (2ct 0st),0.727
BJ Haddin,AUS,2007,2014,15,13,8,6,2,2 (2ct 0st),0.615
Mohammad Rizwan,PAK,2021,2022,13,13,8,7,1,2 (2ct 0st),0.615
BB McCullum,NZ,2007,2014,25,11,7,6,1,3 (3ct 0st),0.636
KD Karthik,IND,2007,2022,10,4,6,4,2,2 (2ct 0st),1.5
JS Foster,ENG,2009,2009,5,5,6,3,3,2 (1ct 1st),1.2
LJ Tucker,IRE,2022,2022,7,7,6,5,1,2 (2ct 0st),0.857
BKG Mendis,SL,2022,2022,8,8,6,4,2,2 (2ct 0st),0.75
BRM Taylor,ZIM,2007,2014,8,7,5,4,1,2 (1ct 1st),0.714
RW Chakabva,ZIM,2022,2022,8,8,5,4,1,2 (1ct 1st),0.625
R Mutumbami,ZIM,2016,2016,3,3,4,1,3,4 (1ct 3st),1.333
MJ Prior,ENG,2007,2007,3,3,4,4,0,4 (4ct 0st),1.333
MDKJ Perera,SL,2014,2021,14,8,4,3,1,2 (2ct 0st),0.5
Rahmanullah Gurbaz,AFG,2021,2022,8,3,3,3,0,2 (2ct 0st),1
CJO Smith,SCOT,2007,2009,4,3,3,1,2,2 (1ct 1st),1
LD Chandimal,SL,2010,2021,12,4,3,2,1,2 (2ct 0st),0.75
GJ Hopkins,NZ,2010,2010,5,5,3,2,1,2 (2ct 0st),0.6
VS Solanki,ENG,2007,2007,2,2,2,2,0,2 (2ct 0st),1
NA Rock,IRE,2021,2021,3,3,2,2,0,1 (1ct 0st),0.666
PM Nevill,AUS,2016,2016,4,4,2,1,1,1 (1ct 0st),0.5
PD McGlashan,NZ,2009,2009,5,5,2,2,0,1 (1ct 0st),0.4
JJ Atkinson,HKG,2014,2016,6,6,2,2,0,2 (2ct 0st),0.333
RR Pant,IND,2021,2022,7,7,2,1,1,2 (1ct 1st),0.285
B Bhandari,NEP,2014,2014,3,0,1,1,0,1 (1ct 0st),-
LMP Simmons,WI,2009,2021,14,0,1,1,0,1 (1ct 0st),-
JM Bairstow,ENG,2012,2021,11,1,1,1,0,1 (1ct 0st),1
H Klaasen,SA,2021,2022,4,1,1,1,0,1 (1ct 0st),1
Naseem Khushi,OMA,2021,2021,3,2,1,1,0,1 (1ct 0st),0.5
Sultan Ahmed,OMA,2016,2016,3,2,1,0,1,1 (0ct 1st),0.5
T Taibu,ZIM,2007,2010,4,2,1,1,0,1 (1ct 0st),0.5
V Aravind,UAE,2022,2022,3,3,1,1,0,1 (1ct 0st),0.333
SP Khakurel,NEP,2014,2014,3,3,1,1,0,1 (1ct 0st),0.333
Sarfaraz Ahmed,PAK,2016,2016,4,4,1,1,0,1 (1ct 0st),0.25
GC Wilson,IRE,2009,2016,13,5,1,0,1,1 (0ct 1st),0.2
N Pooran,WI,2021,2022,8,8,1,1,0,1 (1ct 0st),0.125
Suraj Kumar,OMA,2021,2021,1,1,0,0,0,0,0
ADS Fletcher,WI,2009,2016,11,2,0,0,0,0,0
MA Ouma,KENYA,2007,2007,2,2,0,0,0,0,0
TL Seifert,NZ,2021,2021,2,2,0,0,0,0,0
J Smits,NED,2009,2009,2,2,0,0,0,0,0
K Doriga,PNG,2021,2021,3,3,0,0,0,0,0
Litton Das,BAN,2021,2022,13,3,0,0,0,0,0
SP Patil,UAE,2014,2014,3,3,0,0,0,0,0